Setor	Subsetor	Produto	Especificação NCM	Quantidade (Kg) - jan./2021	Valor (US$) - jan./2021	Quantidade (Kg) - fev./2021	Valor (US$) - fev./2021	Quantidade (Kg) - mar./2021	Valor (US$) - mar./2021	Quantidade (Kg) - abr./2021	Valor (US$) - abr./2021	Quantidade (Kg) - mai./2021	Valor (US$) - mai./2021	Quantidade (Kg) - jun./2021	Valor (US$) - jun./2021	Quantidade (Kg) - jul./2021	Valor (US$) - jul./2021	Quantidade (Kg) - ago./2021	Valor (US$) - ago./2021	Quantidade (Kg) - set./2021	Valor (US$) - set./2021	Quantidade (Kg) - out./2021	Valor (US$) - out./2021	Quantidade (Kg) - nov./2021	Valor (US$) - nov./2021	Quantidade (Kg) - dez./2021	Valor (US$) - dez./2021	Quantidade (Kg) - jan./2022	Valor (US$) - jan./2022
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ TORRADO	09012100 - CAFE TORRADO,NAO DESCAFEINADO	445.633	1.852.048	723.659	2.390.054	544.891	2.297.905	368.960	1.766.545	514.211	2.389.724	614.258	2.706.935	457.434	2.371.298	498.670	2.806.313	394.395	2.333.452	306.939	2.166.216	288.137	2.442.294	342.411	2.730.025	261.399	1.768.298
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ TORRADO	09012200 - CAFE TORRADO,DESCAFEINADO	3.816	31.666	1.238	11.068	1.520	9.430	2.646	16.616	2.835	29.881	1.725	11.655	2.522	16.848	1.201	11.322	2.277	21.114	2.003	18.587	988	7.657	2.668	24.549	73	1.061
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ VERDE	09011110 - CAFE NAO TORRADO,NAO DESCAFEINADO,EM GRAO	221.965.485	466.534.434	191.071.095	413.439.733	241.586.366	535.786.005	207.151.549	464.836.986	190.099.182	432.740.284	174.256.268	408.235.998	142.861.626	334.840.426	172.421.668	428.698.610	169.587.727	470.263.860	188.709.950	557.836.003	175.084.878	570.328.764	207.639.849	720.026.763	178.050.994	659.388.773
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ VERDE	09011190 - CAFE NAO TORRADO,NAO DESCAFEINADO,EXCETO EM GRAO	852	5.579	26.820	96.155	19.534	55.545	18.531	86.229	19.134	60.029	40.860	79.129	53.250	112.439	2.859	13.426	188	1.913	133.099	502.133	19.534	87.963	691	4.408	397	3.341
CAFÉ	CAFÉ VERDE E CAFÉ TORRADO	CAFÉ VERDE	09011200 - CAFE NAO TORRADO,DESCAFEINADO			1.500	9.150	6	665			1	13							504	2.241	4	35			30	338		
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	CAFÉ SOLÚVEL	21011110 - CAFE SOLUVEL,MESMO DESCAFEINADO	7.325.210	39.487.153	6.416.314	35.494.792	7.063.882	37.641.673	7.637.401	41.581.816	6.456.125	35.339.750	6.841.104	39.126.129	5.707.248	32.791.438	7.612.045	41.356.512	7.867.584	43.943.388	7.528.938	43.029.327	6.875.300	40.667.812	10.867.012	62.336.533	8.533.205	54.104.629
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	EXTRATOS, ESSÊNCIAS E CONCENTRADOS DE CAFÉ	21011190 - OUTROS EXTRATOS,ESSENCIAS E CONCENTRADOS,DE CAFE	62.065	353.792	105.309	359.367	438.308	1.688.737	181.108	1.082.095	183.092	1.122.128	261.866	1.287.541	196.340	1.299.854	621.803	2.760.982	218.948	1.079.559	193.854	1.228.273	353.730	1.798.404	118.516	1.276.180	202.566	1.541.868
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	EXTRATOS, ESSÊNCIAS E CONCENTRADOS DE CAFÉ	21011200 - PREPARS.A BASE DE EXTRATOS,ESSENCIAS,CONCENTRAD.DE CAFE	403.458	1.610.094	595.302	2.075.274	521.760	2.185.452	598.711	2.294.006	713.463	2.879.777	819.239	3.010.742	709.381	2.972.736	911.129	3.673.378	502.562	2.166.945	455.658	2.268.201	541.876	2.561.778	924.665	4.388.169	605.951	2.733.497
CAFÉ	EXTRATOS DE CAFÉ E SUCEDÂNEOS DO CAFÉ	RESÍDUOS DO CAFÉ	09019000 - CASCAS,PELICULAS DE CAFE E SUCEDANEOS DO CAFE	3.412	9.455	150	1.672	360	4.288	321	2.109	29.145	63.904	425	2.833	990	2.182	1.566	8.453	325	1.879	354	1.876	697	7.020	512	2.477	620	3.189
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10061091 - ARROZ ('PADDY') COM CASCA,PARBOILIZADO (ESTUFADO)	25	40	65	147	276	916	130	336	500	1.190	1.000	1.927	544	1.821	910	2.841	500	908	60	82			25	23	270	507
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10061092 - ARROZ ('PADDY') COM CASCA,NAO PARBOILIZADO (N/ESTUFADO)	4.446	7.557	1.987	3.077	4.057.541	1.182.819	28.349.269	9.580.953	28.853.866	10.435.292	7.136	10.533	14.587.999	4.643.693	31.363.856	9.604.256	34.020.157	11.042.425	32.558.575	9.892.697	159.825	69.945	60.700.819	15.893.435	24.521.878	6.231.693
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10062010 - ARROZ ('CARGO' OU CASTANHO),DESCASCADO,PARBOILIZADO	8.690	5.998	84.352	53.698	92.301	54.969	49.866	31.726	55.036	39.444	89.936	59.485	53.733	37.371	28.676	23.434	17.202	16.478	2.100	3.193	45.071	30.790	22.873	16.920	8.467	10.568
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10062020 - ARROZ ('CARGO' OU CASTANHO),DESCASCADO,NAO PARBOILIZADO	22.448	15.366	142.339	86.433	58.462	33.633	236.921	129.946	163.444	95.168	29.449	35.429	11.942.575	5.498.248	123.678	81.722	7.200	7.860	3.560	3.723	86.049	70.666	119.918	101.801	28.399.452	11.685.427
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10063011 - ARROZ SEMIBRANQUEADO,ETC.PARBOILIZADO,POLIDO OU BRUNIDO	4.631.240	3.069.892	4.292.502	2.727.356	6.076.066	3.943.003	6.318.597	6.864.995	6.661.837	6.117.606	4.543.150	2.775.700	3.227.085	1.919.386	5.670.123	3.258.000	1.357.231	825.724	4.939.355	3.117.062	2.760.923	1.563.378	3.172.917	1.755.721	7.553.517	4.295.033
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10063019 - OUTROS TIPOS DE ARROZ SEMIBRANQUEADO,ETC.PARBOILIZADO	21.369	7.476	31.654	13.866	19.077	8.342	45.907	22.204	32.059	8.716	37.449	12.534	28.431	9.260	17.836	6.481	24.453	7.244	25.240	8.122	64.631	27.456	22.021	7.077	19.463	4.709
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10063021 - ARROZ SEMIBRANQUEADO,ETC.N/PARBOILIZADO,POLIDO,BRUNIDO	9.516.414	6.257.744	9.027.275	5.890.113	15.928.523	9.793.825	16.916.580	10.317.748	15.483.975	9.940.322	14.325.072	8.893.856	17.015.560	9.132.685	21.488.450	11.378.098	35.452.455	18.481.497	40.511.048	20.755.212	14.640.912	8.062.051	6.483.882	3.589.485	29.794.775	15.757.420
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10063029 - OUTROS TIPOS DE ARROZ SEMIBRANQUEADO,ETC.N/PARBOILIZADO	6.021	10.144	47.692	83.256	13.871	13.717	58.235	62.571	5.430	11.301	4.800	10.122	5.534	9.668	5.962	10.968	8.234	15.730	4.795	8.965	26.178	46.526	6.636	13.363	6.293	9.933
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	ARROZ	10064000 - ARROZ QUEBRADO (TRINCA DE ARROZ)	316.562	112.541	42.137.524	13.924.753	46.057.783	16.206.381	32.691.887	11.872.737	17.087.471	6.007.537	28.720.273	10.507.356	25.035.703	8.924.620	29.276.545	10.321.157	28.553.698	10.579.303	26.170.784	9.239.127	207.864	69.885	58.906.204	21.347.343	17.621.470	6.565.234
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	AVEIA	10049000 - AVEIA, EXCETO PARA SEMEADURA	21	88	7	37	5	38	25.025	17.585	56.014	10.602	8	25	147.080	71.523	112.033	22.651	25.026	17.117	112.005	23.758	193.003	44.551	276.518	59.272	139.510	30.017
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	CENTEIO	10029000 - CENTEIO, EXCETO PARA SEMEADURA	25	32	24	130	28.004	10.009	70	89	6	29	10	39			5	20			18	73	12	56			40	146
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	CEVADA	10039080 - OUTRAS CEVADAS, EM GRAO	6	31	5	11	11	24	41	73	35	95	3	7	7	16	2	5			18	47	172	401	36	93	33	77
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	CEVADA	10039090 - OUTRAS CEVADAS, EXCETO EM GRAO			10	28							28	97	10	28	705	206	2	9			2	7			10	26
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	DEMAIS CEREAIS	10082110 - MILHETO (PENNISETUM GLAUCUM), PARA SEMEADURA			17.000	36.604											50.000	112.500	38	78			15	83				
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	DEMAIS CEREAIS	10085090 - QUINOA (CHENOPODIUM QUINOA), EXCETO PARA SEMEADURA					7	46	10	53			99	664	17	146	10	12	2	19	8	34	60	336	9	95	101	656
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	DEMAIS CEREAIS	10089090 - OUTROS CEREAIS,EXCETO PARA SEMEADURA	63	198	7.087	22.821	519	1.147	4.802	15.361	835	1.008	3.184	8.653	1.516	1.942	373	926	3.239	7.054	1.284	1.649	78	189	7.269	23.035	374	818
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	MILHO	10059010 - MILHO EM GRAO,EXCETO PARA SEMEADURA	2.344.662.043	454.235.204	775.054.623	162.626.289	289.202.359	66.890.964	128.914.443	27.207.932	13.019.636	2.962.071	90.584.027	18.558.033	1.990.061.416	398.689.711	4.334.875.566	830.167.543	2.849.347.554	531.924.568	1.791.306.924	364.204.382	2.383.980.756	485.767.392	3.407.137.854	753.357.043	2.730.631.949	665.278.346
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	MILHO	10059090 - MILHO,EXCETO EM GRAO	104.578	56.714	105.729	55.522	196.738	50.545	3.281	2.917	509.023	240.058	462.437	258.947	75.355	36.877	8.292	7.736	30.777	25.439	231.925	62.602	333.023	207.167	79.558	61.065	765.513	404.334
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	PAINÇO	10082990 - OUTROS PAINCOS, EXCETO PARA SEMEADURA																					29.500	9.060	5	40		
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	SORGO	10079000 - SORGO DE GRAO, EXCETO PARA SEMEADURA																	26.352	12.270								
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	TRIGO	10011900 - TRIGO DURO, EXCETO PARA SEMEADURA					5	19			10	21											10	60				
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	TRIGO	10019900 - OUT.TRIGOS E MISTURAS DE TRIGO C/CENTEIO, EXC.P/ SEMEAD	401.085.004	86.398.341	121.330.836	23.961.594	45.341.508	12.231.289							2	4	21.014.760	4.013.821	15	115			18	107	540.515.150	157.392.532	586.392.995	172.826.293
CEREAIS, FARINHAS E PREPARAÇÕES	CEREAIS	TRIGO MOURISCO	10081090 - TRIGO MOURISCO,EXCETO PARA SEMEADURA	210.411	96.011	132.517	68.857	161	1.053	80	281	80	497	81	442	262.951	150.380	1.210.861	691.145	264.522	156.994	237.493	143.427	106.937	62.217	211.584	121.272	243	1.499
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	MASSAS ALIMENTÍCIAS	19021100 - MASSAS ALIMENTICIAS,CONT.OVOS,N/COZIDAS,N/RECHEADAS,ETC	52.035	57.722	101.638	117.339	128.825	99.267	1.349.787	916.299	460.970	388.970	170.484	173.449	86.237	106.477	359.055	290.160	76.161	80.583	145.385	124.281	106.660	114.773	94.075	110.461	125.222	149.035
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	MASSAS ALIMENTÍCIAS	19021900 - OUTRAS MASSAS ALIMENTICIAS,NAO COZIDAS,NAO RECHEAD.ETC.	451.494	292.207	203.194	176.933	394.430	272.148	471.446	328.911	1.544.500	834.959	2.051.179	1.159.487	1.964.414	1.118.362	556.548	427.042	472.104	367.456	396.992	374.755	448.019	399.402	1.405.379	929.196	109.032	105.816
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	MASSAS ALIMENTÍCIAS	19022000 - MASSAS ALIMENT.RECHEADAS,INCL.COZIDAS,PREPARS.OUT.MODO	33.157	70.911	1.960	6.170	131.998	294.579	43.189	106.298	87.590	185.920	54.772	126.986	64.837	164.980	123.417	290.398	76.986	181.576	28.919	66.437	125.010	259.566	121.226	254.430	47.060	98.588
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	MASSAS ALIMENTÍCIAS	19023000 - OUTRAS MASSAS ALIMENTICIAS	144.009	286.432	159.031	288.991	270.033	508.462	231.879	439.978	334.454	658.189	306.511	724.805	262.998	537.802	380.310	790.401	274.187	599.540	306.320	568.498	225.028	426.993	245.059	534.954	219.846	504.017
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	MASSAS ALIMENTÍCIAS	19024000 - COUSCOUS	20	41	377	199	689	303			13	68	30	134	2	12	25	194	6	9	250	281	13	19			251	269
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	OUTRAS PREPARAÇÕES ALIMENTÍCIAS A BASE DE CEREAIS	19012000 - MISTURAS E PASTAS,P/PREPAR.PRODS.PADARIA,PASTELARIA,ETC	6.278.572	4.354.410	5.657.592	4.131.542	9.145.580	6.394.435	5.423.126	3.806.201	10.167.152	6.721.442	5.797.130	4.797.924	8.191.039	5.738.683	10.305.717	7.111.689	8.746.860	6.427.811	8.376.757	5.942.160	9.197.336	6.403.927	10.029.347	6.224.545	8.124.980	4.714.420
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	OUTRAS PREPARAÇÕES ALIMENTÍCIAS A BASE DE CEREAIS	19019090 - OUTRAS PREPARACOES ALIMENT.DE FARINHAS,ETC.CACAU<40%	1.146.121	2.532.947	1.311.378	3.319.728	2.544.084	7.958.577	1.934.402	4.583.325	2.710.608	8.058.290	2.930.130	9.331.106	1.667.552	4.146.853	2.637.597	7.220.784	2.657.087	8.129.816	2.044.721	5.797.186	3.398.777	9.268.366	3.335.259	9.280.372	3.165.442	8.533.974
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	OUTRAS PREPARAÇÕES ALIMENTÍCIAS A BASE DE CEREAIS	19041000 - PRODS.A BASE DE CEREAIS,OBTIDOS POR EXPANSAO,TORREFACAO	449.793	873.287	393.545	954.787	672.705	1.412.875	357.240	734.640	474.117	1.044.792	542.329	1.048.495	452.801	911.999	472.225	880.280	542.938	979.267	656.300	1.381.091	524.568	1.198.353	569.816	1.330.550	240.642	543.155
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	OUTRAS PREPARAÇÕES ALIMENTÍCIAS A BASE DE CEREAIS	19042000 - PREPARS.ALIMENT.OBTIDAS DE FLOCOS DE CEREAIS E MISTURAS	37.134	134.733	65.775	190.515	51.514	141.691	27.566	80.089	29.197	115.338	21.288	71.735	17.212	38.474	32.925	96.752	19.139	57.252	11.059	43.745	33.101	110.991	38.104	94.291	25.706	94.480
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	OUTRAS PREPARAÇÕES ALIMENTÍCIAS A BASE DE CEREAIS	19043000 - TRIGO BURGOL ('BULGUR')	4.370	3.349	6.598	6.488	6.048	4.964	6.993	7.863	4.870	4.150	7.114	7.250	5.595	6.501	418	757	2.568	2.749	3.616	4.262	5.685	5.560	5.082	6.280	7.086	7.809
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	OUTRAS PREPARAÇÕES ALIMENTÍCIAS A BASE DE CEREAIS	19049000 - OUTROS CEREAIS EM GRAOS,PRE-COZIDOS,PREPARS.DE OUT.MODO	86.356	216.408	61.563	164.859	253.337	753.389	303.958	779.289	361.350	958.961	356.928	972.163	691.137	1.954.824	387.016	1.233.206	610.140	2.010.186	635.083	2.001.454	730.243	2.086.346	190.415	547.319	542.429	1.516.744
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19051000 - PAO DENOMINADO 'KNACKEBROT'	27	79	51	121	18	51			11	30	60	167	45	128	69	191	29	77	60	126	27	69	51	137	45	134
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19052010 - PANETONE	2.219	12.745	7.611	38.006	2.026	7.268	6.381	24.156	14.325	46.845	55.799	178.710	473.544	1.533.723	1.720.881	5.347.548	1.581.937	5.123.699	2.138.887	6.425.787	614.412	1.799.337	42.921	140.365	1.588	8.294
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19052090 - OUTROS PAES DE ESPECIARIAS	57.633	147.800	72.446	182.259	78.147	194.706	53.429	155.742	64.476	218.036	59.472	183.520	95.063	279.716	75.998	243.172	68.450	201.141	184.915	456.334	150.897	366.881	112.390	294.524	87.505	236.109
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19053100 - BOLACHAS E BISCOITOS ADICION.DE EDULCORANTES	2.481.036	3.162.907	2.664.207	3.135.587	3.225.289	3.878.038	3.990.490	5.025.125	3.296.365	4.500.498	3.842.760	5.346.285	3.625.061	4.860.748	3.917.353	5.880.131	4.160.896	6.061.922	4.318.535	6.347.616	3.880.970	5.551.648	4.695.600	6.356.017	3.327.279	4.637.528
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19054000 - TORRADAS,PAO TORRADO E PRODUTOS SEMELHANTES TORRADOS	68.678	165.224	88.197	169.380	125.799	252.714	133.207	265.314	130.569	247.969	201.526	438.478	117.989	273.243	137.482	306.123	98.086	218.056	147.861	307.497	234.663	438.646	210.363	423.261	109.182	255.863
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19059010 - PAO DE FORMA	107.443	158.812	158.366	231.974	111.440	175.939	151.558	223.242	178.288	263.217	241.732	351.549	140.587	210.423	189.383	284.693	198.081	299.076	214.517	327.062	337.467	516.889	384.680	564.124	156.623	247.648
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19059020 - BOLACHAS	178.502	254.760	149.693	195.705	238.108	332.820	152.667	234.796	184.457	228.059	255.189	344.775	204.521	283.472	279.072	441.552	326.929	580.953	149.521	216.374	295.133	499.393	320.208	564.448	242.400	362.441
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PÃES, BISCOITOS E PRODUTOS DE PASTELARIA	19059090 - OUTROS PRODS.DE PADARIA,PASTELARIA,IND.DE BISCOITOS,ETC	284.066	606.765	205.813	551.098	348.338	878.361	483.807	1.150.151	429.994	1.020.665	308.125	820.090	307.327	838.612	455.233	1.108.745	530.748	1.287.735	674.836	1.738.879	740.158	1.848.851	684.141	1.765.778	395.819	1.067.235
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PREPARAÇÕES PARA ALIMENTAÇÃO INFANTIL	19011020 - FARINHA LACTEA,PARA ALIMENTACAO DE CRIANCAS	2.075	9.153	8.278	32.825	26.195	90.055	1.887	3.737	26.768	94.278	14.719	53.698	8.401	28.141	24.971	86.586	3.254	14.161	4.055	17.586	1.577	5.744	22.447	51.389	5.802	24.255
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PREPARAÇÕES PARA ALIMENTAÇÃO INFANTIL	19011030 - PREPARS.A BASE FARINHA,SEMOLA,AMIDO,P/ALIM.DE CRIANCAS	2.348	7.348	5.502	13.894	1.105	3.125	25.079	49.366	10.684	26.200	13.149	30.331	12.087	28.358	16.213	41.861	18.752	37.998	13.030	35.958	8.853	28.407	15.670	35.942	10.137	26.202
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	PREPARAÇÕES PARA ALIMENTAÇÃO INFANTIL	19011090 - OUTRAS PREPARACOES PARA ALIMENTACAO DE CRIANCAS	356.195	915.567	558.041	1.552.336	880.486	2.371.462	667.772	1.968.463	591.423	1.539.484	766.838	1.910.148	526.780	1.360.786	406.730	1.006.338	958.487	2.434.254	1.099.430	2.792.269	925.705	2.475.510	1.222.276	3.171.631	265.869	760.964
CEREAIS, FARINHAS E PREPARAÇÕES	PREPARAÇÕES A BASE DE CEREAIS	WAFFLES E 'WAFERS'	19053200 - 'WAFFLES' E 'WAFERS'	1.268.426	2.869.072	1.656.800	3.567.375	1.406.934	2.848.777	1.701.634	3.677.035	1.729.514	4.102.314	2.126.566	5.197.318	1.762.083	3.864.092	2.193.461	5.293.625	1.753.558	4.455.444	1.913.308	4.487.808	2.015.529	4.740.374	2.580.809	6.152.955	1.607.414	3.642.791
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	AMIDO DE MILHO	11081200 - AMIDO DE MILHO	7.602.717	2.724.848	4.968.667	1.776.833	4.215.210	1.732.421	5.198.632	2.116.423	5.664.441	2.602.673	3.583.591	1.795.745	4.269.550	1.994.170	6.509.622	2.858.464	4.905.573	2.375.769	3.834.081	2.036.415	6.237.487	3.185.710	6.966.765	3.306.103	6.444.659	3.288.359
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	AMIDO DE TRIGO	11081100 - AMIDO DE TRIGO							5	8			5	9											2	10		
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	AVEIA EM FLOCOS OU ELABORADOS DE OUTRO MODO	11041200 - GRAOS DE AVEIA,ESMAGADOS OU EM FLOCOS	211.528	164.140	123.934	101.127	198.224	160.232	145.719	121.860	46.732	67.129	53.645	54.698	86.966	85.549	30.510	27.821	31.456	38.905	46.084	48.172	49.454	54.334	40.783	56.308	44.138	47.284
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	AVEIA EM FLOCOS OU ELABORADOS DE OUTRO MODO	11042200 - GRAOS DE AVEIA,DESCASCADOS,EM PEROLAS,CORTADOS,ETC.	112.039	49.928	33	107	28.425	14.429	21.320	13.169	391	417	429	371	28.125	13.140	28.237	7.084	54	199	13	48	60	199	74	222	124	168
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	11029000 - FARINHA DE OUTROS CEREAIS	38.268	38.221	21.396	24.246	60.346	47.442	15.231	12.597	25.048	17.889	11.543	15.824	21.061	20.744	37.437	25.587	2.876	4.108	30.504	21.926	19.178	21.312	17.631	20.359	1.603	2.037
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	11031900 - GRUMOS E SEMOLAS,DE OUTROS CEREAIS			24	773									3	122					25	862					13	482
