Setor	Subsetor	Produto	Especificação NCM	Quantidade (Kg) - jan./2021	Valor (US$) - jan./2021	Quantidade (Kg) - fev./2021	Valor (US$) - fev./2021	Quantidade (Kg) - mar./2021	Valor (US$) - mar./2021	Quantidade (Kg) - abr./2021	Valor (US$) - abr./2021	Quantidade (Kg) - mai./2021	Valor (US$) - mai./2021	Quantidade (Kg) - jun./2021	Valor (US$) - jun./2021	Quantidade (Kg) - jul./2021	Valor (US$) - jul./2021	Quantidade (Kg) - ago./2021	Valor (US$) - ago./2021	Quantidade (Kg) - set./2021	Valor (US$) - set./2021	Quantidade (Kg) - out./2021	Valor (US$) - out./2021	Quantidade (Kg) - nov./2021	Valor (US$) - nov./2021	Quantidade (Kg) - dez./2021	Valor (US$) - dez./2021	Quantidade (Kg) - jan./2022	Valor (US$) - jan./2022
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	11041900 - GRAOS DE OUTROS CEREAIS,ESMAGADOS OU EM FLOCOS	85.607	84.858	56.670	55.669	97.904	86.468	57.678	60.758	123.654	99.940	57.840	52.004	56.406	55.083	57.381	52.592	51.950	54.083	55.096	57.136	65.244	63.417	54.518	55.808	48.937	49.881
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	11042300 - GRAOS DE MILHO,DESCASCADOS,EM PEROLAS,CORTADOS,ETC.	1.900.784	756.779	1.057.360	426.132	754.069	379.758	1.014.889	500.935	602.639	312.589	1.156.202	579.936	490.433	273.716	206.759	137.963	937.367	478.406	267.458	212.035	115.807	89.233	172.159	121.552	670.857	395.206
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	11042900 - GRAOS DE OUTROS CEREAIS,DESCASCADOS,EM PEROLAS,ETC.	459	1.822	5.501	9.034	6.655	10.629	1.419	3.851	6.919	11.321	5.896	10.565	3.967	10.246	2.808	6.068	3.620	7.424	5.273	13.596	475	2.287	4.755	10.649	4.902	9.762
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	11043000 - GERMES DE CEREAIS,INTEIROS,ESMAGADOS,EM FLOCOS,MOIDOS	456	511	26	253	67	254	251	326	9	77	51	498	32	271	9.647	3.475	12	81	9.046	2.619	32	255	29	155	38	220
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	11081900 - OUTROS AMIDOS E FECULAS	430	870	2.747	3.623	21.117	20.932	537	1.093	20.208	20.490	3.472	3.332	638	502	1.625	1.695	281	1.373	40.796	46.856	60.005	66.205	60.517	30.108	80.508	87.527
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	23024000 - SEMEAS,FARELOS E OUTROS RESIDUOS,DE OUTROS CEREAIS	12.000	9.000	83.005	16.523	88.080	24.578	40.000	14.883	341.030	133.804	116.275	96.186	90.010	64.152	50.008	68.992	32.820	45.899	75.300	106.346	75.000	110.280	129.000	183.714	54.000	11.346
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	DEMAIS PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	23031000 - RESIDUOS DA FABRICACAO DO AMIDO E RESIDUOS SEMELHANTES			28.286	21.422	17.122	17.285	25.643	17.268	23.919	19.995	46.448	45.175	3	58	6.816	6.740	36.580	6.931	49.490	18.303	6.065	4.216	83.860	16.934		
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	EXTRATO DE MALTE	19019010 - EXTRATO DE MALTE	63.705	124.962	58.037	100.952	50.903	89.581	97.817	130.819	41.308	82.860	104.419	211.949	109.334	196.662	52.307	88.155	156.045	200.769	274.454	394.479	137.033	220.577	96.245	164.946	35.004	65.434
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	FARELO, SÊMEAS E OUTROS RESÍDUOS  DE TRIGO	23023010 - FARELO DE TRIGO	50	30			1.050	437					2.400	1.190	3.000	895	601	148			5.340	4.612	1.800	583	81.324	15.276	1	3
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	FARELO, SÊMEAS E OUTROS RESÍDUOS  DE TRIGO	23023090 - SEMEAS E OUTROS RESIDUOS,DE TRIGO					9	10			30.000	4.800					15	18			30	35	15.000	3.000	13.750	2.750		
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	FARINHA DE MILHO	11022000 - FARINHA DE MILHO	1.707.623	517.212	4.277.408	1.606.378	18.904.557	6.460.955	6.216.928	2.383.043	18.984.051	9.212.286	11.572.828	4.969.486	4.016.927	2.071.186	11.031.770	4.910.846	3.789.643	2.012.495	1.636.581	914.187	5.170.778	1.925.558	5.433.749	2.338.137	1.061.140	463.773
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	FARINHA DE MILHO	11031300 - GRUMOS E SEMOLAS,DE MILHO	2.063.950	700.624	2.697.376	1.249.819	5.361.138	2.535.101	2.575.808	1.248.549	617.531	270.284	805.101	351.324	922.227	406.319	364.432	179.655	1.099.770	527.743	669.446	325.021	964.961	480.548	1.741.811	660.259	295.239	156.893
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	FARINHA DE TRIGO	11010010 - FARINHA DE TRIGO	3.413.699	1.718.800	4.712.960	2.372.549	3.521.268	1.779.873	4.529.963	2.289.665	2.869.476	1.531.198	5.466.078	2.953.455	5.942.181	3.369.334	2.654.742	1.598.144	1.898.793	1.127.710	336.321	211.887	480.630	268.360	8.828.712	4.711.983	1.480.553	743.906
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	FARINHA DE TRIGO	11010020 - FARINHA DE MISTURA DE TRIGO COM CENTEIO	116	197	218	230	498	579	1.025	1.002	340	328	475	592	155	128	563	621	200	218	300	317	603	625	292	298	222	221
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	FARINHA DE TRIGO	11031100 - GRUMOS E SEMOLAS,DE TRIGO	24.569	32.015	21.520	31.498	9.654	13.879	7.281	11.619	14.915	20.889	6.931	9.846	13.547	19.604	17.152	23.075	13.236	19.493	17.467	24.194	16.272	22.083	36.775	54.097	8.768	12.091
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	GLUTEN DE TRIGO	11090000 - GLUTEN DE TRIGO,MESMO SECO													20	121												
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	MALTE	11071010 - MALTE NAO TORRADO,INTEIRO OU PARTIDO	231.230	107.356	643.940	321.936	286.420	181.106			136.300	126.041	278.000	190.006	2.241.025	1.421.597	3.101.590	1.954.213	10.336.740	2.708.894	310.190	242.467	104.000	84.324	117.000	125.893	130.000	105.510
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	MALTE	11072010 - MALTE TORRADO,INTEIRO OU PARTIDO	750	1.194			425	621							275	377					12.075	20.888	5.500	10.868	12.000	40.481		
CEREAIS, FARINHAS E PREPARAÇÕES	PRODUTOS E SUBPRODUTOS DA INDÚSTRIA DE MOAGEM	SEMEAS, FARELOS E OUTROS RESÍDUOS DE MILHO	23021000 - SEMEAS,FARELOS E OUTROS RESIDUOS,DE MILHO	54.013	38.276	70.005	72.174	46.250	51.378	25.001	19.186	35.008	28.068	51.500	42.879	14.743	4.972	274.205	319.425	4	29	263.852	262.386	50.000	37.382	75.022	56.198	581.132	646.743
COMPLEXO SOJA	FARELO DE SOJA	FARELO DE SOJA	12081000 - FARINHA DE SOJA	23.087	39.019	8.030	13.574	24.625	44.180	29.156	49.283	26.021	43.977	10.539	18.513	3.034	3.480	44.634	74.762	28.231	36.856	13.724	23.830	1.681	2.117	14.151	23.079	18.242	31.960
COMPLEXO SOJA	FARELO DE SOJA	FARELO DE SOJA	23040010 - FARINHAS E 'PELLETS',DA EXTRACAO DO OLEO DE SOJA	204.386.822	90.113.857	155.614.956	67.759.431	230.607.887	89.505.170	264.308.539	128.983.489	429.825.924	172.608.985	263.619.491	98.637.504	380.085.441	161.188.574	390.630.010	155.058.039	213.970.095	98.819.710	303.534.852	127.261.874	204.818.797	95.540.736	322.061.403	135.561.045	352.500.556	169.783.316
COMPLEXO SOJA	FARELO DE SOJA	FARELO DE SOJA	23040090 - BAGACOS E OUTS.RESIDUOS SOLIDOS,DA EXTR.DO OLEO DE SOJA	820.491.061	359.434.720	884.611.098	397.991.297	954.041.708	427.590.840	1.126.701.823	501.378.817	1.335.351.201	570.912.850	1.440.783.775	630.712.836	1.554.580.176	687.516.288	1.154.196.532	495.949.099	1.084.877.049	463.588.368	1.015.229.417	420.737.501	1.066.923.439	425.369.090	1.347.874.329	540.524.586	1.102.262.067	465.392.664
COMPLEXO SOJA	OLEO DE SOJA	DEMAIS OLEOS DE SOJA	15079090 - OUTROS OLEOS DE SOJA	153	366	495	827	6.998	26.091	280	312	58.870	38.289	198	362	15.778	22.084	445	712	0	67	530	610	15.580	21.833	4	113	5	501
COMPLEXO SOJA	OLEO DE SOJA	OLEO DE SOJA EM BRUTO	15071000 - OLEO DE SOJA,EM BRUTO,MESMO DEGOMADO	51.695	107.995	70.282.246	66.940.894	102.282.007	95.906.693	194.722.709	208.543.559	156.938.928	183.689.263	153.673.376	184.672.039	98.455.601	115.549.205	140.050.375	165.910.397	116.027.453	138.149.924	137.163.661	177.026.402	156.303.381	213.241.103	136.085.287	183.186.309	141.393.445	191.525.475
COMPLEXO SOJA	OLEO DE SOJA	OLEO DE SOJA REFINADO	15079011 - OLEO DE SOJA,REFINADO,EM RECIPIENTES COM CAPACIDADE<=5L	8.285.047	10.943.833	13.910.009	20.461.357	15.696.603	21.552.317	14.059.460	20.577.290	16.534.463	25.819.676	13.782.038	22.020.729	15.712.193	24.435.296	14.827.614	22.918.502	14.224.127	23.047.700	11.278.361	18.213.855	14.575.226	23.801.883	10.569.569	16.911.359	10.613.182	17.205.121
COMPLEXO SOJA	OLEO DE SOJA	OLEO DE SOJA REFINADO	15079019 - OLEO DE SOJA,REFINADO,EM RECIPIENTES COM CAPACIDADE>5L	143.578	159.948	62.286	78.497	23.140	33.408	103.084	134.950	7.540.928	10.531.616	1.391.608	1.957.401	7.715.355	9.249.692	7.942.319	10.264.785	204.352	256.399	22.755	41.940	109.038	157.789	57.861	86.204	50.718	93.653
COMPLEXO SOJA	SOJA EM GRÃOS	SOJA EM GRÃOS	12019000 - SOJA, MESMO TRITURADA, EXCETO PARA SEMEADURA	49.498.339	23.266.515	2.645.991.911	1.036.130.963	12.693.891.970	5.045.797.587	16.114.935.917	6.665.535.574	14.966.211.428	6.707.870.129	11.066.507.007	5.173.933.719	8.668.959.255	3.983.043.384	6.480.708.140	3.140.967.377	4.822.522.988	2.453.625.241	3.292.698.971	1.719.101.382	2.587.026.013	1.320.997.259	2.711.451.851	1.358.653.383	2.451.973.309	1.240.874.546
COMPLEXO SUCROALCOOLEIRO	AÇÚCAR DE CANA OU BETERRABA	AÇÚCAR DE BETERRABA EM BRUTO	17011200 - ACUCAR DE BETERRABA,EM BRUTO	507	531	354	286	733	528	352	248	397	317	319	257	373	345	878	707	437	396	619	519	585	536	529	562	418	462
COMPLEXO SUCROALCOOLEIRO	AÇÚCAR DE CANA OU BETERRABA	AÇÚCAR DE CANA EM BRUTO	17011300 - ACUCAR DE CANA MENCIONADO NA NOTA 2 DA SUBPOSIÇAO 1701	145	590	112.840	52.157	100.203	192.301	124.805	211.860	61.425	46.994	82.670	124.983	89.043	128.023	13.180	7.768	2.160	4.857	86.237	172.324	82.640	165.076	14.932	30.012	15.214	11.357
COMPLEXO SUCROALCOOLEIRO	AÇÚCAR DE CANA OU BETERRABA	AÇÚCAR DE CANA EM BRUTO	17011400 - OUTROS ACUCARES DE CANA	1.752.454.277	520.545.980	1.455.419.822	453.858.303	1.675.279.908	533.446.507	1.436.535.479	465.851.770	2.265.562.667	728.841.668	2.515.170.272	832.150.408	2.222.606.826	731.124.554	2.251.290.975	757.551.131	2.319.567.427	770.767.930	2.086.714.220	739.238.331	2.360.178.128	810.666.353	1.654.867.162	611.364.576	1.103.682.815	417.068.000
COMPLEXO SUCROALCOOLEIRO	AÇÚCAR DE CANA OU BETERRABA	AÇÚCAR REFINADO	17019100 - OUTROS ACUCARES DE CANA,BETERRABA,COM AROMATIZ.CORANTE	243.410	108.502	1.921	2.483	128.429	60.922	7.222	11.915	351.901	175.813	7.043	7.757	1.960	2.220	2.593	3.654	18.277	51.678	155.159	87.330	44.643	62.505	152.527	79.373	2.403	3.595
COMPLEXO SUCROALCOOLEIRO	AÇÚCAR DE CANA OU BETERRABA	AÇÚCAR REFINADO	17019900 - OUTS.ACUCARES DE CANA,BETERRABA,SACAROSE QUIM.PURA,SOL.	246.267.171	88.129.437	366.574.167	133.598.454	292.373.720	104.902.677	349.860.736	122.277.840	214.451.733	80.457.438	222.767.891	85.792.241	243.433.965	93.308.578	293.039.681	112.705.106	223.155.965	84.980.099	221.381.218	88.383.375	299.270.593	118.626.229	284.765.475	116.041.100	243.171.767	101.357.009
COMPLEXO SUCROALCOOLEIRO	ÁLCOOL	ÁLCOOL ETÍLICO	22071010 - ALCOOL ETILICO N/DESNATURADO C/TEOR AGUA <= 1% VOL	54.462.739	32.693.119	28.327.837	17.515.311	12.209.809	9.364.455	13.471.495	8.612.841	38.565.753	26.623.427	80.818.372	55.165.268	62.558.143	45.292.559	31.664.950	19.605.079	25.434.356	22.671.241	46.600.963	41.093.129	22.689.242	22.179.406	67.982.608	61.252.170	32.334.704	27.807.243
COMPLEXO SUCROALCOOLEIRO	ÁLCOOL	ÁLCOOL ETÍLICO	22071090 - OUTROS ALCOOL ETILICO N/DESNATURADO	96.342.710	52.684.071	95.532.760	52.613.300	140.020.261	79.271.630	71.074.430	43.755.854	12.936.095	10.265.015	152.650.526	100.855.512	103.293.056	67.343.931	35.154.803	23.611.432	129.724.325	93.634.504	83.559.117	57.077.491	62.138.247	46.177.786	89.587.008	67.091.293	49.945.131	40.060.583
COMPLEXO SUCROALCOOLEIRO	ÁLCOOL	ÁLCOOL ETÍLICO	22072011 - ALCOOL ETILICO C/ TEOR AGUA <= 1% VOLUME							30	111			3	8	106	286							32	48				
COMPLEXO SUCROALCOOLEIRO	ÁLCOOL	ÁLCOOL ETÍLICO	22072019 - OUTROS ALCOOL ETILICO DESNATURADO	659.886	569.539	627.251	531.328	533.053	462.729	193.452	167.117	722.130	607.025	239.945	199.644	727.905	626.172	401.496	346.366	519.248	440.679	177.158	166.430	333.341	306.965	285.321	265.713	207.299	202.445
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17021100 - LACTOSE E XAROPE DE LACTOSE,PESO>=99% DE LACTOSE,ETC.	468	954	404	669	430	487	3.077	7.301	361	456	541	713	850	369	305	1.178	409	545	1.896	8.838	3.853	16.118	306	392	171	154
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17021900 - OUTRAS LACTOSES E XAROPES DE LACTOSE	45	36	233	10.435	731	28.987	155	2.655	48	33	729	4.117	71	50	181	97	4	10	29	12	235	194	95	57	343	151
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17022000 - ACUCAR E XAROPE,DE BORDO (ACER)	878	752	182	151	367	309	121	199	712	466	174	169	1.168	1.135	409	409	485	2.810	528	2.119	425	425	244	231	428	462
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17023011 - GLICOSE QUIMICAMENTE PURA	25.000	17.950					25.000	17.930	3.750	2.250	25.000	20.100			10.050	18.207			26	220	25.000	19.389				
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17023019 - OUTRAS GLICOSES CONTEND.ESTADO SECO,PESO<20% DE FRUTOSE	79.503	30.451	209.065	100.023	55.002	33.056	27.500	13.125	75.005	53.240	42.255	19.330	75.778	56.174	19.500	16.575	115.384	94.179	60.003	29.677	53.702	29.540	49.500	25.540	8.753	4.497
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17023020 - XAROPE DE GLICOSE CONT.ESTADO SECO,PESO<20% DE FRUTOSE	2.816.320	928.114	1.444.989	463.268	1.577.670	515.374	2.008.406	696.771	1.632.681	600.847	2.552.399	891.596	2.036.350	854.726	2.083.345	828.858	2.248.180	886.030	2.190.015	870.119	2.150.138	850.780	2.710.180	1.147.548	1.803.699	744.390
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17024010 - GLICOSE CONTENDO ESTADO SECO,20%<=PESO<50% DE FRUTOSE																	19	126								
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17024020 - XAROPE DE GLICOSE,CONT.ESTADO SECO,20%<=P<50% FRUTOSE	4	13	216	392	346	270	238	391			22	39							90	422	9	30				
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17025000 - FRUTOSE QUIMICAMENTE PURA			18	225			12.225	21.154					24	296	72.000	50.997			523	2.313			23.000	18.549		
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17026020 - XAROPE DE FRUTOSE,CONT.NO ESTADO SECO,P>50% DE FRUTOSE																	6	11	22	34					1	54
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	DEMAIS AÇÚCARES	17029000 - OUTROS ACUCARES,XAROPES DE ACUCARES,SUCEDAN.DO MEL,ETC.	906.719	466.835	360.770	315.481	692.470	538.826	305.632	295.501	554.037	553.075	12.483.170	3.632.457	491.952	474.578	780.551	545.465	841.090	529.912	427.676	384.892	300.184	185.315	1.038.958	739.897	842.968	575.999
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	MELAÇOS	17031000 - MELACOS DE CANA	615	1.424	122.848	30.975	15.109	8.016	27.219	12.138	502	1.301	781	2.454	714	3.248	1.325	2.878	2.921	5.273	29.094	18.937	372	1.186	405	990	345	617
COMPLEXO SUCROALCOOLEIRO	DEMAIS AÇÚCARES	MELAÇOS	17039000 - OUTROS MELACOS DA EXTRACAO OU REFINACAO DO ACUCAR	625	760	852	1.195	257	192	881	1.538	373	293	2.889	1.846	1.037	1.569	177	376	332	368	100	111	285	193	472	340	331	189
DEMAIS PRODUTOS DE ORIGEM VEGETAL	DEMAIS ÁLCOOIS	DEMAIS ÁLCOOIS	29054300 - MANITOL	205.500	407.419	495.025	928.230	232.000	441.375	41.500	82.219	242.000	555.729	247.223	563.840	351.000	756.858	231.000	473.886	134.550	269.991	132.000	254.178	108.000	230.092	347.350	774.258	540.732	1.323.368
DEMAIS PRODUTOS DE ORIGEM VEGETAL	DEMAIS ÁLCOOIS	DEMAIS ÁLCOOIS	29054400 - D-GLUCITOL (SORBITOL) (POLIALCOOL)	95.830	59.742	13.650	13.389	12.480	10.407	26.600	21.814	53.560	47.815	46.300	37.677	120.420	99.011	64.800	46.359	60.900	58.326	199.080	149.473	126.260	108.108	277.900	200.432	413.154	345.853
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079011 - ALFA-AMILASE (ASPERGILLUS ORYZAE)	900	5.266	500	1.400	300	840	700	4.748					1.200	11.124	1.100	3.080	501	4.393	200	2.530	200	560	700	5.900	600	1.680
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079019 - OUTRAS AMILASES E SEUS CONCENTRADOS	5.415	25.684	7.250	27.903	7.891	43.379	372	21.973	1.188	21.139	2.713	11.808	3.941	50.647	4.615	17.072	9.260	272.795	21.325	114.821	52.391	365.970	15.418	112.831	16.564	87.281
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079022 - BROMELINA			3	180					1	83					2	168					0	38	7	1.037		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079026 - PAPAINA	1.162	28.493	1.819	28.367	1.146	3.503	1.681	34.212	1.503	3.986	1.184	17.317	1.518	33.047	1.290	18.404	1.555	27.775	1.354	3.524	144	1.442	1.312	2.764	908	2.241
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079029 - OUTRAS PROTEASES E SEUS CONCENTRADOS	23.349	129.265	21.159	246.103	24.062	370.492	4.876	72.574	97.690	1.201.749	13.216	152.282	23.770	388.884	93.375	613.972	92.772	785.529	69.885	762.350	25.510	268.841	32.966	451.712	12.052	201.282
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079039 - OUTRAS ENZIMAS E SEUS CONCENTRADOS	11.408	31.166	13.000	157.157	31.847	130.224	9.723	694.166	11.307	603.799	15.886	218.951	3.223	316.593	6.545	373.522	1.391	727.544	18.087	345.991	6.760	68.345	9.189	159.788	12.889	111.652
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079041 - ENZIMAS PREPARADAS A BASE DE CELULASES	13.800	65.768	7.250	37.425	19.480	100.702	7.112	64.587	5.850	33.825	14.914	64.240	14.400	86.722	13.335	67.005	22.345	114.739	40.601	655.270	18.120	87.634	25.230	113.900	30.500	132.025
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079042 - ENZIMAS PREPARADAS A BASE DE TRANSGLUTAMINASE	1.300	33.137	2.070	66.962	1.100	20.242	1.600	37.881	2.650	61.635	2.910	71.190	760	29.072	4.401	141.513	5.957	144.414	657	20.339	9.262	312.431	4.000	148.717	7.100	218.224
DEMAIS PRODUTOS DE ORIGEM VEGETAL	ENZIMAS E SEUS CONCENTRADOS	ENZIMAS E SEUS CONCENTRADOS	35079049 - OUTRAS ENZIMAS PREPARADAS	345.234	2.634.177	403.427	3.104.221	387.669	2.647.178	354.308	2.780.977	328.215	2.971.467	415.385	3.225.863	353.155	2.882.484	442.917	3.841.721	391.240	3.467.946	391.031	3.041.754	515.953	4.338.514	471.206	3.703.275	391.149	3.952.318
DEMAIS PRODUTOS DE ORIGEM VEGETAL	EXTRATOS TANANTES E TINTORIAIS,  TANINOS E SEUS DERIVADOS,  MAT. CORANTES DE ORIG. VEG.	EXTRATOS TANANTES DE ORIGEM VEGETAL, TANINOS E SEUS DERIVADOS	32012000 - EXTRATO TANANTE,DE MIMOSA	2.079.145	3.239.651	2.221.970	3.354.605	1.581.625	2.589.720	1.815.140	2.980.143	1.489.900	2.391.065	1.779.650	2.865.804	1.846.261	2.991.974	1.199.443	1.949.721	1.634.720	2.681.604	1.869.590	3.031.959	1.813.200	2.961.981	1.910.920	3.136.540	993.820	1.685.948
DEMAIS PRODUTOS DE ORIGEM VEGETAL	EXTRATOS TANANTES E TINTORIAIS,  TANINOS E SEUS DERIVADOS,  MAT. CORANTES DE ORIG. VEG.	EXTRATOS TANANTES DE ORIGEM VEGETAL, TANINOS E SEUS DERIVADOS	32019012 - EXTRATO TANANTE,DE CARVALHO OU DE CASTANHEIRO							170	907			204	1.215														
DEMAIS PRODUTOS DE ORIGEM VEGETAL	EXTRATOS TANANTES E TINTORIAIS,  TANINOS E SEUS DERIVADOS,  MAT. CORANTES DE ORIG. VEG.	EXTRATOS TANANTES DE ORIGEM VEGETAL, TANINOS E SEUS DERIVADOS	32019019 - OUTROS EXTRATOS TANANTES,DE ORIGEM VEGETAL															11.000	49.500	36	500					1.000	6.090		
