Setor	Subsetor	Produto	Especificação NCM	Quantidade (Kg) - jan./2021	Valor (US$) - jan./2021	Quantidade (Kg) - fev./2021	Valor (US$) - fev./2021	Quantidade (Kg) - mar./2021	Valor (US$) - mar./2021	Quantidade (Kg) - abr./2021	Valor (US$) - abr./2021	Quantidade (Kg) - mai./2021	Valor (US$) - mai./2021	Quantidade (Kg) - jun./2021	Valor (US$) - jun./2021	Quantidade (Kg) - jul./2021	Valor (US$) - jul./2021	Quantidade (Kg) - ago./2021	Valor (US$) - ago./2021	Quantidade (Kg) - set./2021	Valor (US$) - set./2021	Quantidade (Kg) - out./2021	Valor (US$) - out./2021	Quantidade (Kg) - nov./2021	Valor (US$) - nov./2021	Quantidade (Kg) - dez./2021	Valor (US$) - dez./2021	Quantidade (Kg) - jan./2022	Valor (US$) - jan./2022
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	35051000 - DEXTRINA E OUTROS AMIDOS E FECULAS MODIFICADOS	3.407.276	2.428.034	2.851.214	2.045.977	3.086.562	2.489.353	3.307.727	2.822.389	3.948.302	3.198.335	3.123.672	2.894.685	3.205.966	3.014.176	3.412.620	2.965.822	3.424.998	2.883.535	6.571.666	4.752.868	5.723.914	4.691.645	8.864.313	7.196.603	5.736.883	5.078.100
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	35052000 - COLAS A BASE DE AMIDOS OU DE FECULAS,DE DEXTRINA,ETC.	9.940	19.507	12.608	14.826	3.901	1.563	1.102	9.051	8.297	28.474	5.975	20.573	3.273	3.100	100	200	817	4.414	20.250	25.182	15.778	15.664	1.894	3.310	23.275	20.146
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46012100 - ESTEIRAS, CAPACHOS, DIVISÓRIAS, DE BAMBU																			654	6.153			296	2.492	10	194
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46012200 - ESTEIRAS, CAPACHOS, DIVISÓRIAS,DE RATÃ																							15	211		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46012900 - OUTS.ESTEIRAS,CAPACHOS,DIVIS. D/MAT. VEGETAL			1	1.094			2	20	69	1.701	2	1.272	6	684					16	329					5	59
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46019200 - OUTS. MATÉRIAS P/ENTRANÇAR DE BAMBU	15	312	3	18									43	1.489												
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46019400 - OUTS. MATÉRIAS P/ENTRANÇAR DE MAT.VEGETAIS													7	266			4	252	62	1.401			2	148	3	206
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46021100 - OBRAS D/CESTARIA DE BAMBU	17	551	10	336	216	1.162	233	2.202	56	213	205	1.035	141	1.183	360	1.820	12	419	41	469	12	1.603	147	659	130	2.439
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46021200 - OBRAS D/CESTARIA DE RATÃ	2	90	22	294	25	550	11	364					5	416	2	127	136	1.583	16	393			109	2.118	59	4.741
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	46021900 - OUTRAS OBRAS D/CESTARIA D/MATS.VEGETAIS	213	3.463	188	2.066	1.206	26.741	387	10.763	1.812	32.798	157	4.982	1.054	15.186	134	12.258	1.276	7.957	400	9.013	471	48.574	1.039	20.117	1.072	12.531
DEMAIS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	OUTROS PRODUTOS DE ORIGEM VEGETAL	48236100 - BANDEJAS,TRAVES.PRAT.XÍC.ETC.DE DE BAMBU	8	227																	96	1.162						
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA	CONES DE LÚPULO E LUPULINA	12102010 - CONES DE LUPULO,TRITURADOS OU MOIDOS,OU EM 'PELLETS'	62	1.334	230	7.543	12	393					310	10.014	58	968			540	19.853	1.910	28.568	310	7.246	80	2.973	1	16
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA	PLANTAS PARA MEDICINA OU PERFUMARIA	12112000 - RAIZES DE 'GINSENG',FRESCAS,SECAS,INCL.CORTAD.TRITUR.PO	1	10	1.546	21.792	50	427	1	7	1.500	20.100	610	9.319	35	365	25	292	1.040	8.198	1	3	225	2.145	339	5.725		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA	PLANTAS PARA MEDICINA OU PERFUMARIA	12119010 - OREGANO FRESCO OU SECO,P/PERFUMARIA,MEDICINA,ETC.	21	296	17	169	49	496	40	476	24	259	3.057	17.480	44	215	29	316	634	1.886	48	694	1.177	4.569	49	375	104	835
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA	PLANTAS PARA MEDICINA OU PERFUMARIA	12119090 - OUTRAS PLANTAS E PARTES,P/PERFUMARIA,MEDICINA E SEMELHS	35.811	266.476	208.598	1.305.060	144.993	718.170	165.578	1.161.040	246.472	1.437.120	81.031	577.075	52.303	395.818	227.612	1.385.492	107.899	703.190	172.673	1.103.580	62.753	490.763	48.858	460.059	165.675	1.062.949
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PLANTAS E PARTES PARA INDÚSTRIA, MEDICINA OU PERFUMARIA	PLANTAS PARA MEDICINA OU PERFUMARIA	12129910 - STEVIA REBAUDIANA			6.806	17.413			16.431	46.447	15.769	44.398			18.218	51.553									25.044	67.613		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS	38061000 - COLOFONIAS E ACIDOS RESINICOS	7.525.500	7.760.720	6.939.633	7.678.244	11.304.536	13.632.651	8.621.410	10.826.113	9.605.511	13.113.761	8.550.460	12.764.420	6.600.060	10.558.335	5.290.498	8.844.788	6.471.160	10.592.990	5.888.002	9.914.285	6.930.632	11.871.184	8.872.360	15.856.916	8.317.672	15.223.351
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS	38062000 - SAIS DE COLOFONIAS,ACIDOS RESINICOS OU DE SEUS DERIVS.	9.200	26.112	3.800	9.494					12.000	36.972			5.000	12.022	1.600	3.664			2.400	5.184	2.400	7.080	2.400	5.944		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS	38063000 - GOMAS ESTERES (GOMAS FUNDIDAS)	85.000	99.749	18.200	15.652	103.200	148.975	19.075	16.405	76.900	132.657	15.575	13.395	54.200	83.860	42.400	94.236	24.400	53.436	7.000	16.810	24.100	51.797	31.200	46.296	48.825	117.188
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS	38069011 - COLOFONIAS OXIDADAS,HIDROGENADAS,DESIDROGENADAS,ETC.	345.900	475.051	665.550	709.199	666.100	876.171	303.412	460.883	463.400	746.999	357.360	611.254	342.770	647.431	159.550	325.936	239.660	469.318	338.281	719.051	493.204	1.004.866	410.221	896.119	415.000	882.807
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS	38069019 - OUTROS DERIVADOS DE COLOFONIAS OU DE ACIDOS RESINICOS	1.391.860	1.727.944	1.222.280	1.651.662	1.327.240	1.857.423	1.570.503	2.432.915	778.425	1.249.928	1.608.953	2.871.828	1.420.178	2.719.676	1.005.470	1.881.710	875.980	1.768.404	1.028.420	2.124.981	982.863	2.099.560	1.585.525	3.361.495	1.373.358	3.028.614
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	COLOFONIAS, ÁCIDOS RESÍNICOS E SEUS DERIVADOS	38069090 - OUTRAS ESSENCIAS DE COLOFONIA E OLEOS DE COLOFONIA	102.650	89.434	71.300	255.981	156.100	236.947	93.215	348.803	132.900	473.158	84.477	383.161	36.280	162.389	79.450	299.486	205.925	770.960	32.257	138.361	181.187	414.222	6.300	23.061	23.050	94.392
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	DEMAIS PRODUTOS DA INDÚSTRIA QUÍMICA , DE ORIGEM VEGETAL	11082000 - INULINA			5	44			6	41	10	80					10	100	4	40			5	58			1	12
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	DEMAIS PRODUTOS DA INDÚSTRIA QUÍMICA , DE ORIGEM VEGETAL	38070000 - ALCATROES DE MADEIRA,OLEOS DE ALCATRAO DE MADEIRA,ETC.	883	3.584	11.236	37.911	18	176	1.818	14.385	1.425	7.867	21.564	13.004	2.720	38.378	520	2.253	6.504	11.428	2.720	38.906	7.048	129.633	17.930	23.077	200	3.178
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	DEMAIS PRODUTOS DA INDÚSTRIA QUÍMICA , DE ORIGEM VEGETAL	38091010 - PREPARACOES A BASE DE MATERIAS AMILACEAS P/IND.TEXTIL					216	852	500	398	5	10	3	9	380	1.667	200	1.020	13	47	92	363	18	68	1.110	4.985	200	1.180
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	DEMAIS PRODUTOS DA INDÚSTRIA QUÍMICA , DE ORIGEM VEGETAL	38091090 - OUTRAS PREPARACOES A BASE DE MATERIAS AMILACEAS	7.150	7.740	18.525	26.993	3.820	8.012	1.900	2.168	15.050	15.058	11.310	11.985	135	748	2.175	2.664	6.100	4.697	8.550	8.427	1.050	1.726	8.825	14.476		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	ESSÊNCIAS DERIVADAS DE MADEIRA	38051000 - ESSENCIAS DE TEREBINTINA,DE PINHEIRO OU ETC.	1.801.671	4.571.799	1.979.396	5.555.657	2.498.267	7.291.710	2.279.451	7.795.461	2.318.967	8.408.047	2.678.301	10.074.079	1.628.051	6.241.617	1.987.739	7.321.808	2.717.813	9.902.746	2.404.442	8.713.581	1.432.703	5.172.932	1.794.988	6.482.338	2.220.837	7.961.098
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	ESSÊNCIAS DERIVADAS DE MADEIRA	38059010 - ÓLEO DE PINHO	180	961	15.480	70.528	9.900	43.576	7.560	41.224	6.840	31.220	1.440	12.096	2.880	12.845	14.500	79.356			7.430	37.460	900	4.694	1.515	12.769	6.540	29.680
DEMAIS PRODUTOS DE ORIGEM VEGETAL	PRODUTOS DIVERSOS DA INDÚSTRIA QUÍMICA, DE ORIGEM VEGETAL	ESSÊNCIAS DERIVADAS DE MADEIRA	38059090 - OUTS.ESSÊNC.TERPÊNICAS D/FAB.D/MAD,PAPEL	242.612	792.260	359.635	1.148.725	365.540	1.358.788	490.130	1.629.109	371.222	1.562.340	292.440	1.194.422	178.286	587.290	246.784	1.060.004	309.950	1.176.117	600.857	2.450.255	329.520	1.318.250	523.535	2.090.615	448.935	1.832.156
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12077010 - SEMENTES DE MELAO, PARA SEMEADURA	27	634			31	1.805	60	1.835	159	7.070			277	6.302	42	454	57	1.082	67	185.903	307	7.900	32	7.940	80	275
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12077090 - SEMENTES DE MELAO, EXCETO PARA SEMEADURA	70	49	260	193	285	192	150	83	300	260	40	28	100	60	150	109	212	171	20	15	100	71	90	67	135	91
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12092100 - SEMENTES DE ALFAFA (LUZERNA),PARA SEMEADURA																									9.600	40.320
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12092200 - SEMENTES DE TREVO (TRIFOLIUM SPP),PARA SEMEADURA															4.875	20.963										
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12092300 - SEMENTES DE FESTUCA,PARA SEMEADURA	4.000	16.000																	17.400	51.276						
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12092500 - SEMENTES DE AZEVEM,PARA SEMEADURA	14.000	48.000									20.300	21.800	72.925	91.208	31.950	36.716	18.680	33.563					100	145		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12092900 - OUTRAS SEMENTES FORRAGEIRAS,PARA SEMEADURA	539.169	2.829.118	950.882	5.479.407	1.211.365	6.560.398	1.073.340	7.489.295	743.358	4.577.195	545.150	3.405.413	487.952	1.927.083	667.086	4.294.851	1.069.917	6.121.989	807.445	5.489.839	721.367	4.274.238	637.314	3.820.636	474.617	3.302.258
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12093000 - SEMENTES DE PLANTAS HERBACEAS,CULT.P/FLORES,P/SEMEADURA			2	153	2	112	0	500	0	31	1	1.687	0	2.936	19	7.102	1	76	7	110	3	9.579	2	152	1	76
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	DEMAIS SEMENTES	12099900 - OUTRAS SEMENTES,FRUTOS E ESPOROS,PARA SEMEADURA	13.693	435.946	14.035	679.850	18.689	435.870	455	251.804	1.589	370.901	389	531.300	25.206	129.132	282	358.510	18.906	325.121	228	232.122	624	110.389	1.543	868.347	28.163	955.796
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10011100 - TRIGO DURO, PARA SEMEADURA							19.200	13.601	73	73					25	25					17	109	0	2		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10019100 - OUTR. TRIGOS E MISTURAS DE TRIGO C/ CENTEIO,P/SEMEADURA	47	47			36.000	20.200	2.000	2.556	4.000	2.880																
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10031000 - CEVADA, PARA SEMEADURA																							20	50		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10041000 - AVEIA, PARA SEMEADURA							175.000	136.500	106.240	83.770	11.185	10.409			14	14							200	230		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10051000 - MILHO PARA SEMEADURA	1.536.915	5.060.614	1.658.530	6.585.078	2.614.076	7.321.590	1.958.623	4.627.564	391.231	911.275	1.122.786	3.205.116	1.232.220	4.069.683	879.115	2.565.717	793.386	2.184.903	5.499.486	15.698.136	8.208.183	27.276.649	3.382.957	11.683.401	1.076.137	4.196.321
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10061010 - ARROZ ('PADDY') COM CASCA,PARA SEMEADURA			300	305	12.507	3.162	30.000	50.534	1.250	389	360	668	0	1	1	10	24.056	66.431	2.245	6.256	300	1.175	22.501	72.273	85.576	81.445
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10071000 - SORGO DE GRAO, PARA SEMEADURA	331	1.042	43.440	35.929	12.159	33.738	355	1.100	1.623	5.946			694	6.274	30.384	50.158	5.000	6.260	19.960	79.002	3	9	20.024	79.246	293.900	403.468
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10081010 - TRIGO MOURISCO PARA SEMEADURA							30	89																	30	96
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE CEREAIS	10085010 - QUINOA (CHENOPODIUM QUINOA), PARA SEMEADURA							2	37	4	35	2	23														
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07011000 - BATATAS PARA SEMEADURA (BATATA SEMENTE)	2.292	1.868	2.330	1.506	2.407	1.745	1.085	705	4.207	3.311	1.232	930	3.780	3.039	803	574	1.300	947	1.045	570	722	677	1.001	598	966	613
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07031011 - CEBOLAS PARA SEMEADURA	1.171	891	2.215	1.742	1.497	1.342	903	658	2.088	2.461	1.263	1.108	1.419	1.487	2.114	2.151	1.563	1.193	1.025	685	3.173	2.342	947	837	1.531	1.689
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07031021 - ECHALOTES PARA SEMEADURA	19	76							7	39			17	78	3	9			8	30						
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07032010 - ALHO PARA SEMEADURA	391	1.154	581	1.782	1.307	1.869	1.427	3.603	480	1.989	902	3.610	537	2.296	847	3.054	562	2.447	725	2.843	616	2.495	573	2.115	802	2.936
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07039010 - ALHO-PORRO E OUTS.PRODS.HORTICOLAS ALIACEOS,P/SEMEADURA	493	1.706	777	2.186	1.289	2.654	1.054	2.372	922	1.913	756	1.854	843	2.083	780	1.798	731	1.767	690	1.420	924	1.971	830	1.998	874	2.031
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07099911 - MILHO DOCE, PARA SEMEADURA	20	9	220	3.370	82	34	32	12	70	43	1.586	11.040	79	66	755	5.263	3.034	14.382	7.622	50.543	1.665	12.778	50	22	30	97
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07131010 - ERVILHAS (PISUM SATIVUM),SECAS,EM GRAOS,PARA SEMEADURA	3	21					9	126							9	126	50	236			12	150	27	131		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07132010 - GRAO-DE-BICO,SECO,PARA SEMEADURA			5	15	15	52					10	33					10	43	12	42	41	98	3	12	10	35
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07133110 - FEIJOES (VIGNA MUNGO OU RADIATA) SECOS,PARA SEMEADURA	19	98	45	179	23	83	244	500	244	468	91	351	75	212	164	343	86	257	52	159	98	293	65	205	80	320
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07133210 - FEIJAO ADZUKI,SECO,PARA SEMEADURA																									5	17
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07133311 - FEIJAO COMUM,PRETO,SECO,PARA SEMEADURA					10	148							2.720	13.282					4.920	11.759			5	21		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07133321 - FEIJAO COMUM,BRANCO,SECO,PARA SEMEADURA	63	118	149	289	362	578	375	547	71	135	25.405	20.569	211	539	83	192	67	168	1.028	3.063	107	210	54	116	84	158
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07133391 - OUTROS FEIJOES COMUNS,SECOS,PARA SEMEADURA																	975	4.777	11.800	39.064						
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07133410 - FEIJAO-BAMBARA (VIGNA SUBTERRANEA), PARA SEMEADURA																					80.775	236.266				
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07133510 - FEIJAO-FRADINHO (VIGNA UNGUICULATA), PARA SEMEADURA																					5	8				
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07134010 - LENTILHAS SECAS,PARA SEMEADURA	8	33	20	89	10	21	30	67	31	131	32	147	45	275	25	136			5	10	17	84	44	149	35	180
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07135010 - FAVAS E FAVA FORRAGEIRA,SECAS,PARA SEMEADURA	20	57					4	25					15	30			55	339								
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	07136010 - FEIJAO-GUANDO (CAJANUS CAJAN), PARA SEMEADURA					7.000	12.250																				
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE HORTÍCOLAS, LEGUMINOSAS, RAÍZES E TUBÉRCULOS	12099100 - SEMENTES DE PRODUTOS HORTICOLAS,PARA SEMEADURA	12.327	738.853	3.528	958.952	34.574	2.737.457	11.137	1.796.886	10.553	1.173.559	8.020	2.201.804	8.365	1.848.595	27.435	1.170.326	6.081	789.622	11.320	1.248.496	14.143	1.222.985	15.123	2.035.379	9.592	1.161.466
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12011000 - SOJA, MESMO TRITURADA, PARA SEMEADURA	561	652	95	69	105	61	555	410	1.136	1.443	16.301	49.803	699.086	541.087	3.468.040	3.600.097	4.661.540	4.867.938	243.300	267.665	113.372	128.258	188.483	350.746	91.167	92.027
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12023000 - AMENDOINS, NAO TORRADOS NEM COZIDOS, PARA SEMEADURA	35	95	8	22	19	52	17	69	48	166	70	172	14	99	150	262	42	136	65	265	7	28	12	60	3	6
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12051010 - SEMENTES DE NABO SILVESTRE,BX.TEOR,P/SEMEAD.					80.000	1.108.800	17.430	138.465																		
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12059010 - OUTS.SEMENTES DE NABO SILVESTRE,P/SEMEADURA																					36	342				
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12060010 - SEMENTES DE GIRASSOL,PARA SEMEADURA	10	28	30	122	9	34					3	10	13.687	107.403			3	15	10	40	1	3			7	41
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12072100 - SEMENTES DE ALGODAO, PARA SEMEADURA					1.900	824	3.900	1.740	1.600	754																
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12073010 - SEMENTES DE RICINO,PARA SEMEADURA					20	1.188							300	4.500	60	364			160	2.880	900	14.400	300	6.000	1.100	17.380
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
DEMAIS PRODUTOS DE ORIGEM VEGETAL	SEMENTES	SEMENTES DE OLEAGINOSAS PARA SEMEADURA	12079910 - OUTRAS SEMENTES E FRUTOS OLEAGINOSOS,PARA SEMEADURA							18	38.122																		